service_id,date,exception_type
100579,20180416,1
100579,20180418,1
100579,20180419,1
100579,20180420,1
100579,20180423,1
100579,20180425,1
100579,20180426,1
100579,20180427,1
100579,20180430,1
100579,20180502,1
100579,20180503,1
100579,20180504,1
100579,20180507,1
100579,20180509,1
100579,20180510,1
100579,20180511,1
100579,20180514,1
100579,20180516,1
100579,20180517,1
100579,20180518,1
100579,20180521,1
100579,20180523,1
100579,20180524,1
100579,20180525,1
100579,20180528,2
100579,20180530,1
100579,20180531,1
100579,20180601,1
100579,20180604,1
100579,20180606,1
100579,20180607,1
100579,20180608,1
100579,20180611,1
100579,20180613,2
100579,20180614,2
100579,20180615,2
100579,20180618,1
100579,20180620,1
100579,20180621,1
100579,20180622,1
100579,20180625,1
100579,20180627,1
100579,20180628,1
100579,20180629,1
100579,20180702,1
100579,20180704,2
100579,20180705,1
100579,20180706,1
100579,20180709,1
100579,20180711,1
100579,20180712,1
100579,20180713,1
100579,20180716,1
100579,20180718,1
100579,20180719,1
100579,20180720,1
100579,20180723,1
100579,20180725,1
100579,20180726,1
100579,20180727,1
100579,20180730,1
100579,20180801,1
100579,20180802,1
100579,20180803,1
100579,20180806,1
100579,20180808,1
100579,20180809,1
100579,20180810,1
100579,20180813,1
100579,20180815,1
100579,20180816,1
100579,20180817,1
100579,20180820,1
100579,20180822,1
100579,20180823,1
100579,20180824,1
100579,20180827,1
100579,20180829,1
100579,20180830,1
100579,20180831,1
100579,20180903,2
100579,20180905,1
100579,20180906,1
100579,20180907,1
100579,20180910,1
100579,20180912,1
100579,20180913,1
100579,20180914,1
100579,20180917,1
100579,20180919,1
100579,20180920,1
100579,20180921,1
101544,20180416,1
101544,20180418,1
101544,20180420,1
101544,20180423,1
101544,20180425,1
101544,20180427,1
101544,20180430,1
101544,20180502,1
101544,20180504,1
101544,20180507,1
101544,20180509,1
101544,20180511,1
101544,20180514,1
101544,20180516,1
101544,20180518,1
101544,20180521,1
101544,20180523,1
101544,20180525,2
101544,20180528,2
101544,20180530,1
101544,20180601,1
101544,20180604,1
101544,20180606,1
101544,20180608,1
101544,20180611,1
101544,20180613,1
101544,20180615,2
101544,20180618,1
101544,20180620,1
101544,20180622,1
101544,20180625,1
101544,20180627,1
101544,20180629,1
101544,20180702,1
101544,20180704,2
101544,20180706,1
101544,20180709,1
101544,20180711,1
101544,20180713,1
101544,20180716,1
101544,20180718,1
101544,20180720,1
101544,20180723,1
101544,20180725,1
101544,20180727,1
101544,20180730,1
101544,20180801,1
101544,20180803,1
101544,20180806,1
101544,20180808,1
101544,20180810,1
101544,20180813,1
101544,20180815,1
101544,20180817,1
101544,20180820,1
101544,20180822,1
101544,20180824,1
101544,20180827,1
101544,20180829,1
101544,20180831,1
101544,20180903,2
101544,20180905,1
101544,20180907,1
101544,20180910,1
101544,20180912,1
101544,20180914,1
